bit|"{0: {'definition': 'rather; to some extent', 'examples': ['These trousers are a bit tight.', '‘Are you tired?’ ‘Yes, I am a bit.’', 'I was a bit disappointed by the film.', 'It costs a bit more than I wanted to spend.', 'The future looks a little bit brighter this morning.', 'I felt a wee bit guilty about it.', 'I can lend you fifty pounds, if you want. That should help a bit.'], 'extra_examples': [""I'm still just a bit confused."", 'He helped me a little bit in the afternoon.'], 'synonyms': ['a little'], 'labels': '(especially British English)', 'grammar': '[singular]', 'use': '(used as an adverb)', 'dis_g': []}, 1: {'definition': 'a short time or distance', 'examples': ['Wait a bit!', 'Can you move up a bit?', ' for a bit Greg thought for a bit before answering.', ' in a bit See you in a bit.'], 'extra_examples': [], 'synonyms': [], 'labels': '(especially British English)', 'grammar': '[singular]', 'use': [], 'dis_g': []}, 2: {'definition': 'a small amount or piece of something', 'examples': ['Here are some useful bits of information.', 'I have a bit of good news for you.', 'Let me give you a little bit of advice.', ""With a bit of luck, we'll be there by 12."", ""I've got a bit of shopping to do."", 'bits of paper/wood/plastic'], 'extra_examples': [""Here's a bit of news that may interest you."", 'Do you want a bit of pizza?', 'Can you save me a bit?', 'A big bit of plaster just fell down from the ceiling.', 'She tore the letter up and threw it on the floor. Marion stooped to pick up the bits.', ""I've bought a nice bit of fish for dinner."", ""I'm worried because bits keep falling off my car."", 'He managed to get odd bits of work, but no regular job.'], 'synonyms': [], 'labels': '(especially British English)', 'grammar': '[countable]', 'use': [], 'dis_g': []}, 3: {'definition': 'a part of something larger', 'examples': ['The best bit of the holiday was seeing the Grand Canyon.', 'I read it, but I missed out the boring bits.', ' bit about something I like the bit about owls in the first chapter.'], 'extra_examples': ['Listen to the interview again and pick out the bits you want to use in the article.', 'The school play was a huge success—the audience roared with laughter at all the funny bits.'], 'synonyms': [], 'labels': '(especially British English)', 'grammar': '[countable]', 'use': [], 'dis_g': []}, 4: {'definition': 'a large amount', 'examples': ['‘How much does he earn?’ ‘Quite a bit!’', 'It rained a fair bit during the night.', 'The new system will take a bit of getting used to (= it will take a long time to get used to).'], 'extra_examples': ['‘Has it been difficult for you at work?’ ‘Just a bit (= it has been very difficult).’', 'We made a good bit of progress.'], 'synonyms': [], 'labels': '(especially British English, informal)', 'grammar': '[singular]', 'use': [], 'dis_g': []}, 5: {'definition': 'the smallest unit of information used by a computer', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 6: {'definition': 'a metal bar that is put in a horse’s mouth so that the rider can control it', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 7: {'definition': 'a tool or part of a tool for drilling (= making) holes', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 8: {'definition': 'an amount of money equal to 12½ cents', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': '(North American English, informal)', 'grammar': '[countable]', 'use': [], 'dis_g': []}, 9: {'definition': 'a person’s sexual organs', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': '(British English, informal)', 'grammar': '[plural]', 'use': [], 'dis_g': []}}"|/bɪt/|/bɪt/|noun|a2
black|"{0: {'definition': 'having the very darkest colour, like coal or the sky at night', 'examples': ['a shiny black car', 'black storm clouds', 'She had curly black hair and hazel eyes.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'without light; completely dark', 'examples': ['a black night', 'My head banged on a rock and everything went black.'], 'extra_examples': ['The wind and rain intensified the black darkness outside.', 'Through the black night came the sound of thunder.'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'belonging to a race of people who have dark skin; connected with black people', 'examples': ['The film is set in a historically black community.', 'dilemmas faced by black people'], 'extra_examples': ['a black woman writer', ""He's seen as a role model for young black men.""], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 3: {'definition': 'without milk', 'examples': ['Two black coffees, please.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 4: {'definition': 'very dirty; covered with dirt', 'examples': ['chimneys black with smoke', ""Go and wash your hands; they're absolutely black!""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 5: {'definition': 'full of anger or hate', 'examples': [""She's been in a really black mood all day."", 'Rory shot her a black look.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 6: {'definition': 'without hope; very depressing', 'examples': ['The future looks pretty black.', ""It's been another black day for the north-east with the announcement of further job losses.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 7: {'definition': 'evil or immoral', 'examples': ['black deeds/lies'], 'extra_examples': [], 'synonyms': [], 'labels': '(literary)', 'grammar': [], 'use': [], 'dis_g': []}, 8: {'definition': 'dealing with unpleasant or terrible things, such as murder, in a humorous way', 'examples': ['‘Good place to bury the bodies,’ she joked with black humour.', 'The play is a black comedy.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/blæk/|/blæk/|adjective|a1
blue|"{0: {'definition': 'having the colour of a clear sky or the sea on a clear day', 'examples': ['piercing blue eyes', 'The sun shone brilliantly in the clear blue sky.', ' His eyes were dark blue.', 'She wanted to dye her hair blue.', 'a blue shirt', 'a navy blue jumper', 'her vivid blue eyes'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'looking slightly blue in colour because the person is cold or cannot breathe easily', 'examples': ['His lips were turning blue.', ' blue with something Her hands were blue with cold.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': '(of a person or part of the body)'}, 2: {'definition': 'sad', 'examples': [""He'd been feeling blue all week.""], 'extra_examples': [], 'synonyms': ['depressed'], 'labels': '(informal)', 'grammar': [], 'use': [], 'dis_g': []}, 3: {'definition': 'films, jokes or stories that are blue are about sex', 'examples': ['a blue movie'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 4: {'definition': '(of an area in the US) having more people who vote for the Democratic candidate than the Republican one', 'examples': ['blue states/counties'], 'extra_examples': [], 'synonyms': [], 'labels': '(politics)', 'grammar': [], 'use': [], 'dis_g': []}}"|/bluː/|/bluː/|adjective|a1
board|"{0: {'definition': 'a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats', 'examples': ['He had ripped up the carpet, leaving only the bare boards.', 'She noticed a loose board in the fence.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable, uncountable]', 'use': [], 'dis_g': []}, 1: {'definition': 'a piece of wood, or other strong material, that is used for a special purpose', 'examples': ['a whiteboard', ""I'll write it up on the board."", ' (British English) a noticeboard', ' (North American English) a bulletin board', 'The exam results went up on the board.', 'a diving board', 'She jumped off the top board.', 'a chessboard', 'He removed the figure from the board.'], 'extra_examples': [], 'synonyms': [], 'labels': '(British English)', 'grammar': '[countable]', 'use': '(especially in compounds)', 'dis_g': []}, 2: {'definition': 'the piece of equipment on which somebody stands in various water sports and in snowboarding and skateboarding', 'examples': ['You kick-turn with both feet on the board.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': '(especially in compounds)', 'dis_g': []}, 3: {'definition': 'a group of people who have power to make decisions and control a company or other organization', 'examples': ['The board is/are unhappy about falling sales.', 'members of the board', ' on the board She has a seat on the board of directors.', 'He has served on the editorial boards of several scientific journals.', 'She sits on various advisory boards.', 'a board member/meeting', 'discussions at board level', "" board of somebody/something The decision was approved by the museum's board of trustees."", ' (North American English) the Board of Education (= a group of elected officials who are in charge of all the public schools in a particular area)'], 'extra_examples': ['She put her ideas to the board.', 'The project will go to the board for consideration.', 'He became one of the first foreigners to be appointed to the board of a major Japanese company.', ""He's chairman of the BBC's board of governors.""], 'synonyms': [], 'labels': '(North American English)', 'grammar': '[countable + singular or plural verb]', 'use': [], 'dis_g': []}, 4: {'definition': 'used in the name of some organizations', 'examples': ['the Welsh Tourist Board (= responsible for giving tourist information)'], 'extra_examples': ['The exams are set by the Cambridge Examining Board.', 'All boxers are examined by medical officers from the British Boxing Board of Control.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 5: {'definition': 'the meals that are provided when you stay in a hotel, guest house, etc.; what you pay for the meals', 'examples': ['He pays £90 a week board and lodging.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[uncountable]', 'use': [], 'dis_g': []}, 6: {'definition': 'exams that you take when you apply to go to college in the US', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': '(old-fashioned, US English)', 'grammar': '[plural]', 'use': [], 'dis_g': []}, 7: {'definition': 'the stage in a theatre', 'examples': ['His play is on the boards on Broadway.', ""She's treading the boards (= working as an actress).""], 'extra_examples': [], 'synonyms': [], 'labels': '(old-fashioned, informal)', 'grammar': '[plural]', 'use': [], 'dis_g': []}, 8: {'definition': 'the low wooden wall surrounding the area where a game of ice hockey is played', 'examples': ['The puck went wide, hitting the boards.'], 'extra_examples': [], 'synonyms': [], 'labels': '(North American English)', 'grammar': '[plural]', 'use': [], 'dis_g': []}}"|/bɔːrd/|/bɔːd/|noun|a2
boat|"{0: {'definition': 'a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor', 'examples': ['a rowing/sailing boat ', 'a fishing boat', 'You can take a boat trip along the coast.', 'The country intends to build a special fleet of patrol boats.', 'a rescue/pleasure/passenger boat', 'A boat carrying more than 60 people capsized and sank.'], 'extra_examples': ['A new type of patrol boat was launched from the Essex coast yesterday.', 'Boats were anchored two and three abreast.', 'Ferry boats ply regularly between all the resorts on the lake.', 'He beached the boat and the children leaped out to explore.', 'He was adrift in an open boat for three days.', 'I pushed the boat out into the middle of the river.', 'I took them in my boat.', 'My brother took us all out in his new boat.', 'Normally the boat is crewed by five people.', ""Sit down, you're rocking the boat."", 'The boat chugged out to sea.', 'The boat headed upriver.', 'The boat is propelled by a powerful outboard motor.', 'The boat pitched violently from side to side.', 'The boat slowly filled with icy water.', 'The boat was swamped by a huge wave.', 'The cave can only be reached by boat.', 'The harbour was crowded, with boats berthed two and three abreast.', 'The lifeboat was preparing to go to the aid of the stricken boat.', 'They ate on the boat.', 'Where did you learn to handle a boat?', ""You couldn't take a boat out in that wild sea."", 'a Mississippi river boat', 'a flotilla of small boats', 'boats bobbing up and down in the estuary'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'any ship', 'examples': [""‘How are you going to France?’ ‘We're going by boat (= by ferry).’"", 'The island is just a short boat ride from the mainland.'], 'extra_examples': ['Beth had gone down to Bombay to meet the boat on which her sister was arriving.', 'a boat from Jamaica to Trinidad', 'They crossed the island to catch a boat for islands south of Skye.'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/bəʊt/|/bəʊt/|noun|a1
body|"{0: {'definition': 'the whole physical structure of a human or an animal', 'examples': ['The human body is a complex structure.', 'a male/female/naked body ', 'The virus can affect all parts of the body.', 'The heart pumps blood around the body.', 'His whole body was trembling.', 'body fat/weight/temperature/size', 'Yoga is designed to release the body and mind from tension.'], 'extra_examples': ['Extreme heat may cause changes in the body.', 'Pain racked her body.', 'to maintain your ideal body weight'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 1: {'definition': 'the main part of a body not including the head, or not including the head, arms and legs', 'examples': ['She had injuries to her head and body.', 'He has a large body, but thin legs.', 'These exercises help develop your upper body.'], 'extra_examples': ['She still had the marks from the ropes on her body.', 'He pulled the sheet up over his naked body.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 2: {'definition': 'the body of a dead person or animal', 'examples': ['a dead body', 'The family of the missing girl has been called in by the police to identify the body.', ""A man's body was found floating in the river."", 'His body is being brought back to his home town for burial.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 3: {'definition': 'the main part of something, especially a building, a vehicle or a book, an article, etc.', 'examples': ['the body of a plane (= the central part where the seats are)', 'the main body of the text'], 'extra_examples': ['The bar is in the main body of the hotel.', 'Although parts were scattered over the surrounding fields, the main body of the plane had landed in one piece.', 'Most of the body panels on a Land Rover are aluminium.', 'The new car body weighed 9.55 tonnes.', 'There are some references in the main body of the text.'], 'synonyms': [], 'labels': [], 'grammar': '[singular]', 'use': [], 'dis_g': []}, 4: {'definition': 'a group of people who work or act together, often for an official purpose, or who are connected in some other way', 'examples': ['a regulatory/an advisory body', 'The governing body of the school is/are concerned about discipline.', 'recognized professional bodies such as the Law Association', 'An independent body has been set up to investigate the affair.', ' body of somebody A large body of people will be affected by the tax cuts.', ' in a body The protesters marched in a body (= all together) to the White House.'], 'extra_examples': ['An independent body has been set up to regulate the telecommunications sector.', 'The government is consulting trade unions and other professional bodies.', ""They asked for funds from Gymnastics USA, the sport's governing body."", 'The students marched in a body to the government offices.'], 'synonyms': [], 'labels': [], 'grammar': '[countable + singular or plural verb]', 'use': [], 'dis_g': []}, 5: {'definition': 'a large amount or collection of something', 'examples': ['a vast body of evidence/information/research', 'large bodies of water (= lakes or seas)', 'There is a powerful body of opinion against the ruling.'], 'extra_examples': ['The two islands are separated by a large body of water.', 'a large body of evidence'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 6: {'definition': 'an object', 'examples': ['heavenly bodies (= stars, planets, etc.)', 'an operation to remove a foreign body (= something that would not usually be there) from a wound'], 'extra_examples': ['They removed a foreign body from her eye.', 'Stars are celestial bodies.', 'He underwent an operation to remove a foreign body from the wound.', 'Astrology extends back to the time when people worshipped the heavenly bodies as gods.'], 'synonyms': [], 'labels': '(formal)', 'grammar': '[countable]', 'use': [], 'dis_g': []}, 7: {'definition': 'the full strong taste of alcoholic drinks or the thick healthy quality of somebody’s hair', 'examples': ['a wine with plenty of body', 'Regular use of conditioner is supposed to give your hair more body.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[uncountable]', 'use': [], 'dis_g': []}, 8: {'definition': 'having the type of body mentioned', 'examples': ['full-bodied red wines', 'soft-bodied insects'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': '(in adjectives)', 'dis_g': []}, 9: {'definition': 'a piece of clothing which fits tightly over a woman’s upper body and bottom, usually fastening between the legs', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': '(British English)', 'grammar': '[countable]', 'use': [], 'dis_g': []}}"|/ˈbɑːdi/|/ˈbɒdi/|noun|a1
book|"{0: {'definition': 'a set of printed pages that are fastened inside a cover so that you can turn them and read them', 'examples': ['His desk was covered with piles of books.', 'hardback/paperback books', 'a book of short stories'], 'extra_examples': ['Her name was inscribed in the book.', 'one of the earliest printed books'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 1: {'definition': 'a written work published in printed or electronic form', 'examples': ['to read/write/publish a book', ""reference/children's/library books"", ' book by somebody a new book by J. K. Rowling', ' book about something a book about wildlife', ' book on something He has written a book on local architecture.'], 'extra_examples': ['Have you read her latest book?', 'Do you want to renew any of your library books?', 'His latest book will appear in December.', 'How many books can I borrow?', 'How many books have you got out?', 'How many copies of the book did you order?', ""I couldn't put the book down."", 'She looked up from her book and smiled at him.', ""She's busy writing a book on astrology."", 'The book is dedicated to his mother.', 'The collector had many books inscribed to him by famous authors.', ""There's nothing like curling up with a mug of tea and a good book."", 'These issues are discussed in his latest book.', 'a book for new parents', 'a book of walks in London', 'a controversial book about the royal family', 'a new book from the publishing company, Bookworm', ""a survey to find the nation's favourite children's book"", ""I'm reading a book by Robert Shea."", 'The book has received some terrible reviews.', 'a library/\u200bhardback book'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 2: {'definition': 'a set of sheets of paper that are fastened together inside a cover and used for writing in', 'examples': ['an exercise book', 'a notebook'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': '(especially in compounds)', 'dis_g': []}, 3: {'definition': 'a set of things that are fastened together like a book', 'examples': ['a book of stamps/tickets/matches', 'a chequebook'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 4: {'definition': 'the written records of the financial affairs of a business', 'examples': ['to do the books (= to check the accounts)', 'You need to go over the books again; there’s a mistake somewhere.', 'She does the books for us.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[plural]', 'use': [], 'dis_g': []}, 5: {'definition': 'a section of a large written work', 'examples': ['the books of the Bible'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 6: {'definition': 'a record of bets made on whether something will happen, somebody will win a race, etc.', 'examples': ['They’ve opened a book on who’ll win the Championship.'], 'extra_examples': [], 'synonyms': [], 'labels': '(British English)', 'grammar': '[countable]', 'use': [], 'dis_g': []}}"|/bʊk/|/bʊk/|noun|a1
born|{0: {'definition': 'to come out of your mother’s body at the beginning of your life', 'examples': ['I was born in 1976.', 'He was born in a small village in northern Spain.', ' She was born on 7 February 1874. ', 'The baby was born by Caesarean section on Friday. ', 'born into something She was born into a very musical family.', 'These children were born into poverty.', ' born of/to somebody He was born of/to German parents.', ' born with something She was born with a rare heart condition.', 'She was born with a weak heart.', ' + adj. Her brother was born blind (= was blind when he was born).', ' + noun John Wayne was born Marion Michael Morrison (= that was his name at birth).'], 'extra_examples': ['She was born into a wealthy family.', 'Their child was born with a serious medical problem.', 'babies who are born to very young mothers', 'to be born of noble parents'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'to start to exist', 'examples': ['the city where the protest movement was born', ' born (out) of something She acted with a courage born (out) of desperation.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': '(of an idea, an organization, a feeling, etc.)'}, 2: {'definition': 'born in the order, way, place, etc. mentioned', 'examples': ['firstborn', 'nobly born', 'French-born', 'The part is played by an American-born actress.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': '(in compounds)', 'dis_g': []}}|/bɔːrn/|/bɔːn/|verb|a1
both|{0: {'definition': 'used with plural nouns to mean ‘the two’ or ‘the one as well as the other’', 'examples': ['Both women were French.', 'Both the women were French.', 'Both of the women were French.', 'I talked to the women. Both of them were French/They were both French.', 'I liked them both.', 'We were both tired.', 'Both of us were tired.', 'We have both seen the movie.', 'I have two sisters. Both of them live in London/They both live in London.', 'Both (my) sisters live in London.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'not only… but also…', 'examples': ['Both his mother and his father will be there.', 'For this job you will need a good knowledge of both Italian and Spanish.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/bəʊθ/|/bəʊθ/|determiner, pronoun|a1
bother|"{0: {'definition': 'to spend time and/or energy doing something', 'examples': [""‘Shall I wait?’ ‘No, don't bother’."", ""I don't know why I bother! Nobody ever listens!"", 'If that’s all the thanks I get, I won’t bother in future!', "" bother with/about something It's not worth bothering with (= using) an umbrella—the car's just outside."", ""I don't know why you bother with that crowd (= why you spend time with them)."", 'He doesn’t bother much about his appearance.', "" bother to do something He didn't even bother to let me know he was coming."", ""He hadn't even bothered to read the crucial documents."", 'Doctors never bothered to check his blood pressure.', "" bother doing something Why bother asking if you're not really interested?"", ""I didn't bother trying to explain my feelings.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive, transitive]', 'use': '(often used in negative sentences and questions)', 'dis_g': []}, 1: {'definition': 'to annoy, worry or upset somebody; to cause somebody trouble or pain', 'examples': [' bother somebody The thing that bothers me is…', 'That sprained ankle is still bothering her (= hurting).', 'She has been bothered by a leg injury. ', ""‘I'm sorry he was so rude to you.’ ‘It doesn't bother me.’"", "" bother somebody with something I don't want to bother her with my problems at the moment."", ' bother somebody that… Does it bother you that she earns more than you?', ' it bothers somebody to do something It bothers me to think of her alone in that big house.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive]', 'use': [], 'dis_g': []}, 2: {'definition': 'to interrupt somebody; to talk to somebody when they do not want to talk to you', 'examples': ["" bother somebody Stop bothering me when I'm working."", 'Let me know if he bothers you again.', ""Sorry to bother you, but there's a call for you on line two."", 'Please stop bothering me with all these questions!'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive]', 'use': [], 'dis_g': []}}"|/ˈbɑːðər/|/ˈbɒðə(r)/|verb|b1
bottle|"{0: {'definition': 'a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids', 'examples': ['a wine/beer/milk/water bottle', 'Put the top back on the bottle.', 'a plastic/glass bottle', 'To open the bottle, you twist and pull out the stopper. ', 'He threw his message in a bottle into the North Sea.'], 'extra_examples': ['She filled the bottle with water.', 'a crowd of youths throwing bottles and stones', 'Several bags of broken glass bottles were collected.', 'He threw his empty beer bottle on the ground.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 1: {'definition': 'the amount contained in a bottle', 'examples': ['He drank a whole bottle of wine.', 'He handed me a bottle of beer.'], 'extra_examples': ['We discussed the problem over a bottle of wine.', 'We washed the food down with a bottle of cheap red wine.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 2: {'definition': 'alcoholic drink', 'examples': ['After his wife died, he really hit the bottle (= started drinking heavily).'], 'extra_examples': [], 'synonyms': [], 'labels': '(informal)', 'grammar': '[singular]', 'use': [], 'dis_g': []}, 3: {'definition': 'a bottle used to give milk to a baby; the milk from such a bottle (used instead of mother’s milk)', 'examples': [""It's time for her bottle.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable, usually singular]', 'use': [], 'dis_g': []}, 4: {'definition': 'courage or confidence, for example to do something that is dangerous or unpleasant', 'examples': ['It took a lot of bottle to do that.', 'I didn’t think she’d have the bottle to ask him.'], 'extra_examples': [], 'synonyms': ['nerve'], 'labels': '(British English, informal)', 'grammar': '[uncountable]', 'use': [], 'dis_g': []}}"|/ˈbɑːtl/|/ˈbɒtl/|noun|a1
