can1_1|"{0: {'definition': 'used to say that it is possible for somebody/something to do something, or for something to happen', 'examples': ['I can run fast.', 'Can you call back tomorrow?', ""He couldn't answer the question."", 'The stadium can be emptied in four minutes.', ""I can't promise anything, but I'll do what I can."", 'Please let us know if you cannot attend the meeting.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'used to say that somebody knows how to do something', 'examples': ['She can speak Spanish.', 'Can he cook?', 'I could drive a car before I left school.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'used with the verbs ‘feel’, ‘hear’, ‘see’, ‘smell’, ‘taste’', 'examples': ['She could feel a lump in her breast.', 'I can hear music.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 3: {'definition': 'used to show that somebody is allowed to do something', 'examples': ['You can take the car, if you want.', ""We can't wear jeans at work.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 4: {'definition': 'used to ask permission to do something', 'examples': ['Can I read your newspaper?', 'Can I take you home?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 5: {'definition': 'used to ask somebody to help you', 'examples': ['Can you help me with this box?', 'Can you feed the cat, please?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 6: {'definition': 'used to make suggestions', 'examples': ['We can eat in a restaurant, if you like.', 'I can take the car if necessary.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 7: {'definition': 'used in the negative for saying that you are sure something is not true', 'examples': [""That can't be Mary—she's in New York."", ""He can't have slept through all that noise.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 8: {'definition': 'used to express doubt or surprise', 'examples': ['What can they be doing?', 'Can he be serious?', 'Where can she have put it?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 9: {'definition': 'used to say what somebody/something is often like', 'examples': ['He can be very tactless sometimes.', 'It can be quite cold here in winter.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 10: {'definition': 'used to say that somebody must do something, usually when you are angry', 'examples': ['You can shut up or get out!'], 'extra_examples': [], 'synonyms': [], 'labels': '(informal)', 'grammar': [], 'use': [], 'dis_g': []}}"|/kən/, strong form  /kæn/|/kən/, strong form  /kæn/|modal verb|a1
can2_1|{0: {'definition': 'a metal container in which food and drink is sold', 'examples': [' can of something a can of beans/beer/soda', 'a beer can', 'He opened the can and took a large swig.', 'an aluminium/tin can'], 'extra_examples': ['She sipped from a can of Coke.', 'The floor was littered with empty food cans.', 'This special type of milk comes in a can.', 'We opened a can of sardines for lunch.', 'a 200\u2009g can of tuna'], 'synonyms': [], 'labels': 'British English also', 'grammar': '[countable]', 'use': [], 'dis_g': []}, 1: {'definition': 'the amount contained in a can', 'examples': [' can of something We drank a can of Coke each.', 'Have you eaten the whole can?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 2: {'definition': 'a metal or plastic container for holding or carrying liquids', 'examples': ['an oil can', 'He filled a can with water from the pump.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 3: {'definition': 'a metal container in which liquids are kept under pressure and let out in a fine spray when you press a button on the top', 'examples': ['a can of hairspray'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 4: {'definition': 'prison', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': '(North American English, slang)', 'grammar': '[singular]', 'use': [], 'dis_g': []}, 5: {'definition': 'the toilet', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': '(North American English, slang)', 'grammar': '[singular]', 'use': [], 'dis_g': []}}|/kæn/|/kæn/|noun|a2
can2_2|{0: {'definition': 'to preserve food by putting it in a can', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': '(especially North American English)', 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'to dismiss somebody from their job', 'examples': [' Upon learning he was sick, the company canned him without explanation.'], 'extra_examples': [], 'synonyms': ['fire', 'sack'], 'labels': '(North American English, informal)', 'grammar': [], 'use': [], 'dis_g': []}}|/kæn/|/kæn/|verb|_5
close1_1|"{0: {'definition': 'to put something into a position so that it covers an opening; to get into this position', 'examples': ['He closed the door firmly.', 'Would anyone mind if I closed the window?', 'She closed the gate behind her.', ""It's dark now—let's close the curtains."", 'I closed my eyes against the bright light.', 'The doors open and close automatically.'], 'extra_examples': ['She gently closed the door behind her.', 'She closed her eyes and fell asleep immediately.', 'He closed his ears to the noise.', 'The gates can be opened and closed at the touch of a button.'], 'synonyms': ['shut'], 'labels': [], 'grammar': '[transitive, intransitive]', 'use': [], 'dis_g': []}, 1: {'definition': 'to move the parts of something together so that it is no longer open', 'examples': ['to close a book/an umbrella', 'He ate greedily, without closing his mouth.'], 'extra_examples': [], 'synonyms': ['shut'], 'labels': [], 'grammar': '[transitive]', 'use': [], 'dis_g': []}, 2: {'definition': 'to make the work of a shop, etc. stop for a period of time; to not be open for people to use', 'examples': [' be closed The school was closed because of the heavy snow.', ' be closed for something The museum has been closed for renovation.', ' be closed to somebody/something The road was closed to traffic for two days.', 'The castle has been closed to visitors because of the royal wedding.', 'What time does the bank close?', ' close for something We close for lunch between twelve and two.'], 'extra_examples': ['Tomorrow college officially closes for the vacation.', 'The museum has been temporarily closed to the public.', 'On Friday, all the offices were closed for the parade.', ""The shops don't close until 10pm."", 'She urged them not to close their borders to refugees.', 'The canal is rarely closed for repair work. ', 'They have closed two stations for repairs.'], 'synonyms': [], 'labels': [], 'grammar': '[transitive, often passive, intransitive]', 'use': [], 'dis_g': []}, 3: {'definition': 'if a company, shop, etc. closes, or if you close it, it stops operating as a business', 'examples': ['The hospital closed at the end of last year.', 'The play closed after just three nights.', ' close something The club was closed by the police.', 'All the steelworks around here were closed down in the 1980s.'], 'extra_examples': ['It was a pity the business closed.', 'They are closing their Liverpool factory.', ""That factory's been closed down now."", 'The plant will be closed in February with the loss of almost 400 jobs.', 'The program may be forced to close due to a dramatic rent increase.', 'The decision to close a business can be challenging.', 'The company has announced plans to close three factories and lay off 600 workers.'], 'synonyms': [], 'labels': [], 'grammar': '[transitive, intransitive]', 'use': [], 'dis_g': []}, 4: {'definition': 'to end or make something end', 'examples': ['The meeting will close at 10.00 p.m.', 'The offer closes at the end of the week.', 'I will close with a few words about future events.', ' close something to close a meeting/debate', 'to close a case/an investigation', 'to close an account (= to stop keeping money in a bank account)', 'The subject is now closed (= we will not discuss it again).'], 'extra_examples': ['A police spokesman said that the case was now closed.', 'Mr Hunt then closed the debate for the government.', ""The festival closed with a rousing chorus of 'Jerusalem'."", ' The police have now closed the file on him.', 'Counting of votes will begin when the polls close.', 'She felt she had closed that chapter in her life.'], 'synonyms': [], 'labels': 'North American English', 'grammar': '[intransitive, transitive]', 'use': [], 'dis_g': []}, 5: {'definition': 'to arrange and settle a business deal', 'examples': ['Right now we are trying to close the deal with our sponsors.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive]', 'use': [], 'dis_g': []}, 6: {'definition': 'to put an end to a mistake in something that causes a security risk or gives somebody an unfair advantage', 'examples': ['The company acted quickly to close a security hole in its online systems.', 'Congressional leaders have agreed to close a loophole that gave small businesses a big tax break for buying SUVs.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive]', 'use': [], 'dis_g': []}, 7: {'definition': 'to stop using a computer program or file and put it away', 'examples': ['Once I got a few apps closed, it started working again.'], 'extra_examples': [], 'synonyms': [], 'labels': '(computing)', 'grammar': '[transitive]', 'use': [], 'dis_g': []}, 8: {'definition': 'to be worth a particular amount at the end of the day’s business', 'examples': ['Shares in the company closed at 265p.', 'closing prices'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': []}, 9: {'definition': 'to make the distance or difference between two people or things smaller; to become smaller or narrower', 'examples': ['These measures are aimed at closing the gap between rich and poor.', 'The gap between the two top teams is closing all the time.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive, intransitive]', 'use': [], 'dis_g': []}, 10: {'definition': 'to cover somebody/something and hold them/it, or to make something do this', 'examples': ['She closed her hand over his.', 'Her hand closed over his.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive, intransitive]', 'use': [], 'dis_g': []}, 11: {'definition': 'to make an electrical circuit continuous', 'examples': ['When a finger touches the panel, it closes the circuit.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive]', 'use': [], 'dis_g': []}}"|/kləʊz/|/kləʊz/|verb|a1
close1_2|{0: {'definition': 'the end of a period of time or an activity', 'examples': ['at the close of the seventeenth century', 'His life was drawing to a close.', 'Can we bring this meeting to a close?', 'This chapter of her life had come to a close.', 'By the close of London trading, Wall Street was up 9.78 points.', 'The West Indies were 98 for 3 at the close of play (= at the end of the day’s play in a cricket match).'], 'extra_examples': ['At the close of trading, he had lost thousands of pounds on the stock market.', 'The chairperson brought the meeting to a close.', 'The decade drew to a close with the threat of war hanging over Europe.', 'At the close of play, the scores were almost level.', 'At the close of the first day, things were looking good for the home team.', 'The technique probably originated in Italy towards the close of the 13th century.', 'She gave her speech at the close of the conference.', ' By the close of 2017, the market had settled down.', 'The meeting drew to a close.', 'The money is due by the close of business on Friday.'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'the fact of something shutting, especially a door', 'examples': ['The door swung to a close.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/kləʊz/|/kləʊz/|noun|b2
close2_1|"{0: {'definition': 'near in space or time', 'examples': ['I had no idea the beach was so close.', ' close to somebody/something Our new house is close to the school.', 'The children are close to each other in age.', 'She is looking for a job closer to home.', ' close together The tables were too close together.', 'Their birthdays are very close together.', 'This is the closest we can get to the beach by car.', 'We all have to work in close proximity (= near each other).', 'Victory was tantalizingly close.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[not usually before noun]', 'use': [], 'dis_g': []}, 1: {'definition': 'knowing somebody very well and liking them very much', 'examples': ['Jo is a very close friend.', ' close to somebody She is very close to her father.', 'She and her father are very close.', ""We're a very close family.""], 'extra_examples': ['The two sisters seemed very close.', 'He was quite close to his older brother.'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'near in family relationship', 'examples': ['close relatives, such as your mother and father, and brothers and sisters', 'The groom and his close family took their places.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 3: {'definition': 'very involved in the work or activities of somebody else, usually seeing and talking to them regularly', 'examples': [""She has kept in close contact with the victims' families."", 'They have forged a close working relationship.', 'a retired army general with close ties to the military', 'The college has close links with many other institutions.', 'We work in close association with the ministry.', 'Their survival depends on close cooperation.', 'Even their closest allies were shocked by the move.', ""He is one of the prime minister's closest advisers."", 'We are in close touch with the police.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 4: {'definition': 'careful and complete', 'examples': ['Take a close look at this photograph.', 'On closer examination, the painting proved to be a fake.', 'A close inspection reveals stunning attention to detail.', 'Pay close attention to what I am telling you.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[only before noun]', 'use': [], 'dis_g': []}, 5: {'definition': 'almost in a particular state; likely to do something soon', 'examples': [' close to something The airline is close to collapse.', 'He was close to tears.', 'The species is dangerously close to extinction.', 'The new library is close to completion.', 'She knew she was close to death.', ' close to doing something We are close to signing the agreement.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[not before noun]', 'use': [], 'dis_g': []}, 6: {'definition': 'very similar to something else or to an amount', 'examples': [""There's a close resemblance between them (= they look very similar)."", ' close to something This movie is about as close to perfect as you could wish for.', 'Their chances of winning are close to zero.', 'His feeling for her was close to hatred.', 'The total was close to 20% of the workforce.', 'It was the closest thing to a home she had ever known.', 'We tried to match the colours, but this is the closest we could get.'], 'extra_examples': ['The unemployment total was close to 20% of the workforce.', 'The book bears a close resemblance to her earlier work.'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 7: {'definition': 'won by only a small amount or distance', 'examples': ['a close match/contest/election', 'It was pretty close but we lost.', 'Our team came a close second (= nearly won).', 'No one expected such a close finish.', 'The game was closer than the score suggests.', 'The result is going to be too close to call (= either side may win).'], 'extra_examples': ['The organizers of the race are predicting a close finish.', ""It's a desperately close race—I can't quite see who is ahead."", 'The California election looks too close to call as voters go to the polls.', ""I think it's going to be close.""], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 8: {'definition': 'used to describe something, usually a dangerous or unpleasant situation, that nearly happens', 'examples': ['Phew! That was close—that car nearly hit us.', 'We caught the bus in the end but it was close (= we nearly missed it).'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 9: {'definition': 'with little or no space in between', 'examples': ['over 1\u2009000 pages of close print', 'The soldiers advanced in close formation.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 10: {'definition': 'cut very short, near to the skin', 'examples': ['a close haircut/shave'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 11: {'definition': 'carefully guarded', 'examples': [""The donor's identity is a close secret."", 'She was kept under close arrest.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[only before noun]', 'use': [], 'dis_g': []}, 12: {'definition': 'warm in an uncomfortable way because there does not seem to be enough fresh air', 'examples': ['It’s very close today—I think there’s going to be a storm.'], 'extra_examples': [], 'synonyms': ['stuffy'], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 13: {'definition': 'not willing to give personal information about yourself', 'examples': ['He was close about his past.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[not before noun]', 'use': [], 'dis_g': []}, 14: {'definition': 'not liking to spend money', 'examples': [""She's always been very close with her money.""], 'extra_examples': [], 'synonyms': [], 'labels': '(British English)', 'grammar': '[not before noun]', 'use': [], 'dis_g': []}, 15: {'definition': 'produced with part of the tongue in the highest possible position without limiting the flow of air', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': '(of a vowel)'}}"|/kləʊs/|/kləʊs/|adjective|a2
close2_2|"{0: {'definition': 'near; not far away', 'examples': [' + adv./prep. They sat close together.', 'A second police car followed close behind.', 'They are edging closer to an agreement.', ""Don't come too close!"", 'He moved closer so that he could hear her better. ', ""I couldn't get close enough to see."", 'The days were growing colder as winter drew closer.', 'Stay close to me!', 'She held Tom close and pressed her cheek to his.'], 'extra_examples': ['Get close to the microphone.', 'Keep close to me.'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/kləʊs/|/kləʊs/|adverb|b1
close2_3|{0: {'definition': 'a street that is closed at one end', 'examples': ['Brookside Close'], 'extra_examples': [], 'synonyms': [], 'labels': '(British English)', 'grammar': [], 'use': [], 'dis_g': '(especially in street names)'}, 1: {'definition': 'the grounds and buildings that surround and belong to a cathedral', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/kləʊs/|/kləʊs/|noun|
last1_1|"{0: {'definition': 'happening or coming after all other similar things or people', 'examples': ['We caught the last bus home.', ""It's the last house on the left."", 'She was last to arrive.'], 'extra_examples': ['This last point, which Hamish has mentioned, is crucial.', 'Her last words were for her children.'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'most recent', 'examples': ['last night/Tuesday/month/summer/year', 'The critics all hated her last book.', 'This last point is crucial.', 'The last time I saw him was in May.'], 'extra_examples': ['Last summer we went to Greece for a month.', 'Shirley had a talk with her last Friday.'], 'synonyms': [], 'labels': [], 'grammar': '[only before noun]', 'use': [], 'dis_g': []}, 2: {'definition': 'that is the only one that remains', 'examples': ['This is our last bottle of water.', 'He knew this was his last hope of winning.', 'I wouldn’t marry you if you were the last person on earth!'], 'extra_examples': ['The teacher gave her one last chance to prove she could behave.', 'The museum is one of the last remnants of the 17th-century palace.', 'She was hanging on to the last remaining shreds of her reputation.', 'It took my last reserves of strength and will to swim to the lifeboat.'], 'synonyms': ['final'], 'labels': [], 'grammar': '[only before noun]', 'use': [], 'dis_g': []}, 3: {'definition': 'used to emphasize that somebody/something is the least likely or suitable', 'examples': ['The last thing she needed was more work.', ""He's the last person I'd trust with a secret.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/læst/|/lɑːst/|determiner|a1
last1_2|{0: {'definition': 'after anyone or anything else; at the end', 'examples': ['He came last in the race.', 'They arrived last of all.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'most recently', 'examples': ['When did you see him last?', 'I saw him last/I last saw him in New York two years ago.', 'They last won the cup in 2006.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/læst/|/lɑːst/|adverb|a2
last1_3|"{0: {'definition': 'the person or thing that comes or happens after all other similar people or things', 'examples': [""Sorry I'm late—am I the last?"", 'They were the last to arrive.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'the only part or items that remain of something', 'examples': ['These are the last of our apples.', 'We finished the last of the milk at breakfast.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'the latest', 'examples': ['That was the last I heard of him.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[singular]', 'use': [], 'dis_g': []}, 3: {'definition': 'the least likely', 'examples': ['Known for their self-sufficiency, fishermen would be the last to admit to mental strain.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/læst/|/lɑːst/|noun|a2
